prompt,reference
"What is the student's current attendance percentage?","The student's attendance is 94.6%."
"How has the student performed in Biology?","The student is able to evaluate a range of ideas and apply them to complex practical or theoretical situations, especially in written assessments. She should continue developing her ability to ask insightful questions and form hypotheses."
"What feedback was given for the student's Chemistry performance?","The student can evaluate complex theoretical ideas effectively and should continue developing practical skills and confidence with advanced techniques."
"What is the student's current and forecast grade in Mathematics?","The student's current grade in Mathematics is 8 and her forecast grade is 9."
"What did the Physics teacher say about the student's progress?","The student consistently completes tasks using effective strategies and shows resilience and accuracy, especially with multi-step tasks. She should continue to build on her excellent progress."
"What strengths does the student show in Geography?","The student has a strong understanding of geography topics, effectively integrates prior knowledge, and performs exceptionally in assessments. She should focus on understanding command words and not missing smaller questions."
"What areas of English should the student improve?","The student should focus on embedding contextual understanding within her analysis of texts to improve further."
"How is the student performing in French?","The student shows perseverance and skill across listening, reading, writing, and speaking. She should continue to consolidate vocabulary and grammar weekly and use ActiveLearn for practice."
"What did the form tutor highlight about the student's character and achievements?","The tutor praised the student’s leadership as Form Captain, extracurricular involvement, and academic success in Science and Mathematics, calling her a role model."
"What celebration flags has the student received in Product Design?","The student received flags for Active learning, Community contribution, High expectations, and Innovation in Product Design."
"What is the student's behaviour for learning grade in Physics?","The student received a High Performing Learner (H) grade for behaviour for learning in Physics."
"What is the student's celebration flag in Geography?","The student received Curiosity (Cu) and Innovation (I) flags in Geography."
"What does the celebration flag 'Cu' indicate?","The 'Cu' flag indicates that the student demonstrates curiosity, loves learning, and asks well-considered questions."
"How did the student perform in English Language?","The student shows confidence in analysis and supports ideas with well-selected evidence, but should work on applying contextual understanding."
"What does the celebration flag 'H' stand for?","The 'H' flag stands for High Expectations, indicating the student has intellectual confidence and self-regulation in learning."
"How many detentions has the student received?","The student has received 0 detentions."
"What does the concern flag 'H' mean?","The 'H' concern flag refers to issues with homework, such as late submission or not meeting the expected standard."
"What extracurricular activities is the student involved in?","The student participates in Hockey, Gymnastics, Music, and the Duke of Edinburgh’s Award."
"What is the student’s forecast grade in Physics?","The student's forecast grade in Physics is 9."
"How does the student handle frustrations in Physics?","The student effectively overcomes frustrations and barriers, maintaining accuracy even in multi-step tasks."
"What does the celebration flag 'I' represent?","The 'I' flag stands for Innovation, indicating the student is imaginative and considers alternative perspectives."
"What is the student's current grade in Biology?","The student's current grade in Biology is 8."
"How is the student’s problem-solving ability in Mathematics?","The student demonstrates strong logical thinking and adapts approaches effectively."
"What recognition has the student received academically?","The student received recognition for achievements in Science and Mathematics and success in the NASA Competition."
"What is the student's celebration point total?","The student has 44 celebration points."
"What is the student's forecast grade in English Literature?","The student's forecast grade in English Literature is 7."
"What is the student's forecast grade in Chemistry?","The student's forecast grade in Chemistry is 9."
"How many concern points has the student received?","The student has received 0 concern points."
"What is the student’s behaviour for learning in Design and Technology?","The student received an Active Learner (A) grade in Product Design."
"What recommendation did the Chemistry teacher make?","The Chemistry teacher recommended building confidence in practical skills."
"How does the student demonstrate community involvement?","The student contributes to the classroom and shows empathy and confidence."
"What is the celebration flag 'E' for?","The 'E' flag stands for Endeavour, meaning the student works hard and perseveres with learning."
"What grade did the student receive for behaviour for learning in French?","The student received an Active Learner (A) grade in French."
"How does the Geography teacher describe the student's performance?","The Geography teacher described the student's assessment performance as exceptional."
"What specific exam strategies are suggested in Geography?","The student is advised to understand command words like 'assess' and 'evaluate' and not miss small questions."
"What forecast grade did the student receive in French?","The student's forecast grade in French is 7."
"What is the student's current grade in Chemistry?","The student's current grade in Chemistry is 9."
"What is the student's behaviour for learning in English?","The student received an Active Learner (A) grade in English Language."
"What is the student's behaviour for learning in Geography?","The student received a High Performing Learner (H) grade in Geography."
"How many mobile phone confiscations has the student had?","The student has had 0 mobile phone confiscations."
"What does the concern flag 'R' indicate?","The 'R' concern flag indicates that lack of effective revision is hindering performance."
"What does the concern flag 'S' mean?","The 'S' concern flag means the student is not responding to feedback, which is inhibiting progress."
"What does the celebration flag 'O' represent?","The 'O' flag stands for Opportunity, highlighting the student’s extension of learning through extracurricular activities."
"What is the student’s current grade in Geography?","The student’s current grade in Geography is 9."
"What is the student’s behaviour for learning in Chemistry?","The student received a High Performing Learner (H) grade in Chemistry."
"What does the flag 'Co' represent?","The 'Co' flag represents contribution to the classroom community and collaboration with others."
"What is the student’s current grade in French?","The student’s current grade in French is 7."
"What feedback did the Design and Technology teacher give?","The teacher praised the student's attention to detail and encouraged development of meta-thinking skills."
"What success has the student had outside the classroom?","The student has succeeded in the NASA Competition and contributes to Hockey, Gymnastics, Music, and DofE."
"What is the student’s behaviour for learning in Biology?","The student received a High Performing Learner (H) grade in Biology."
